ID_sportsman,Name,Sex,Sport
9883,Mohamed Ryad Ben Haddad,M,Athletics
9898,El-Tayeb El-Hadj Ben Khelfallah,M,Volleyball
9905,Abdel Salem Ben Magh Soula,M,Handball
9923,Taj Ben Saoula,M,Football
9930,Meziane Ben Tahar,M,Football
9942,Raouf Benabid,M,Swimming
9945,Tarek Aziz Benaissa,M,Wrestling
9948,Abderrahmane Benamadi,M,Judo
9949,Mounir Benamadi,M,Judo
9951,Nafaa Benami,M,Weightlifting
9966,Reda Benbaziz,M,Boxing
9968,Abdelhafid Benchabla,M,Boxing
9969,Samir Benchenaf,M,Wrestling
9983,Mohamed Bendahmane,M,Swimming
9985,Sofiane Bendebka,M,Football
10092,Abdelraouf Benguit,M,Football
10096,Nassima Saleha Benhamouda ep Akouche,F,Volleyball
10105,Amar Benikhlef,M,Judo
10130,Mohammed Benkablia,M,Football
10132,Mohamed Benkhemassa,M,Football
10146,Mustapha Bennacer,M,Athletics
10210,Zohra Bensalem,F,Volleyball
10215,Mourad Benslimani,M,Athletics
10233,Hadia Bentaleb,F,Fencing
10274,Rda Benzine,M,Athletics
10275,Irbeh Sebti Benzine,M,Cycling
10490,Abdel Atif Bergheul,M,Handball
10669,Krimo Bernaoui,M,Volleyball
10670,Nassim Islam Al-Bernaoui,M,Fencing
10671,Raouf Salim Al-Bernaoui,M,Fencing
11002,Lad Bessou,M,Athletics
11065,Amina Bettiche,F,Athletics
11321,Walid Bidani,M,Weightlifting
11833,Abdelhakim Bitat,M,Swimming
12272,Hichem Blida,M,Boxing
13895,Mohamed Bouaichaoui,M,Judo
13899,Abdel Djalil Bouanani,M,Handball
13900,Mahmoud Bouanik,M,Handball
13901,Chafik Bouaoud,M,Shooting
13915,Leila Boucetta,F,Table Tennis
13918,Oarda Bouchabou,F,Tennis
13932,Salah Bouchekriou,M,Handball
13947,Hicham Bouchicha,M,Athletics
13948,Mohamed Bouchiche,M,Boxing
13971,Sid Ali Boudina,M,Rowing
13972,Mohamed Boudjadja,M,Table Tennis
13973,Adem Boudjemline,M,Wrestling
13985,Farah Boufadene,F,Gymnastics
13997,Samir Bouguerra,M,Wrestling
13998,Youssef Bouguerra,M,Wrestling
14003,Abdelhak Bouhalissa,M,Handball
14004,Mohamed Bouhalla,M,Athletics
14013,Tarek Boukensa,M,Athletics
14014,Safia Boukhima,F,Volleyball
14020,Kamal Boulahfane,M,Athletics
14036,Abdel Aziz Boulehia,M,Boxing
14046,Hassiba Boulmerka,F,Athletics
14050,Chouaib Bouloudinats,M,Boxing
14068,Lad Bouneb,M,Boxing
14069,Baghdad Bounedjah,M,Football
14072,Abdel Razzak Bounour,M,Athletics
14082,Ali Bourai,M,Trampolining
14086,Hamza Bouras,M,Sailing
14102,Brahim Bourdrali,M,Handball
14119,Mohamed Abdeldjalil Bourguieg,M,Gymnastics
14123,Celia Bourihane,F,Volleyball
14143,Larbi Bourrada,M,Athletics
14160,Bahia Boussad,F,Athletics
14163,Mourad Boussebt,M,Handball
14212,Lyes Bouyacoub,M,Judo
14218,Fouad Bouzenada,M,Weightlifting
14219,Azzedine Bouzerar,M,Handball
14220,Malik Bouziane,M,Boxing
14221,Mohamed Bouziane,M,Handball
14551,Samir Brahimi,M,Boxing
14554,Azzedine Brahmi,M,Athletics
19508,Farid Chaal,M,Football
19514,Hichem Chabane,M,Cycling
19536,Abdelkader Chadi,M,Boxing
20443,Imne Ouneissa Cherif Sahraoui,F,Sailing
20444,Lyes Cherifi,M,Judo
20662,Riad Chibani,M,Judo
24828,Sabria Dahane,F,Swimming
24899,Kenza Tifahi Dahmani,F,Athletics
24900,Meziane Dahmani,M,Judo
24917,Sofiane Daid,M,Swimming
24918,Abderrahmane Daidj,M,Fencing
25329,Amar Daoud,M,Handball
25364,Oussama Darfalou,M,Football
27503,Abdelghani Demmou,M,Football
27739,Abderrahmane Derouaz,M,Football
28497,Ali Dif,M,Volleyball
28646,Ahmed Dine (Jindiyeh-),M,Boxing
28851,Yassine Djakrir,M,Wrestling
28859,Abdel Hakim Djaziri,M,Table Tennis
28861,Ahcen Djeffal,M,Handball
28950,Mustapha Doballah,M,Handball
29926,Abu Sofiane Draouci,M,Handball
29927,Zakaria Draoui,M,Football
30029,Chaouki Dries,M,Rowing
31929,Sofiane El-Azizi,M,Fencing
32071,Karim El-Mahouab,M,Handball
32195,Mokdad El-Yamine,M,Taekwondo
34042,Ahmed Farfar,M,Handball
34682,Ali Fergani,M,Football
34684,Abdel Wahab Ferguene,M,Athletics
34712,Houari Ferhani,M,Football
35282,Al-Tayeb Filali,M,Athletics
35362,Nasserredine Fillali,M,Boxing
35855,Mohamed Flissi,M,Boxing
38242,Zahra Gamir,F,Fencing
38806,Mohamed Ryad Garidi,M,Rowing
39948,Faycal Gharzouli,M,Volleyball
39998,Rabah Gherbi,M,Handball
40053,Mohamed Ouamar Ghrib,M,Football
42082,Mohamed Gouni,M,Weightlifting
43544,Mahmoud Guendouz,M,Football
44505,Rachid Habchaoui,M,Athletics
44546,Mohamed Hachaichi,M,Wrestling
44596,Soraya Haddad,F,Judo
44607,Zakarya Haddouche,M,Football
44841,Mohamed Haioun,M,Boxing
44980,Mohamed Halimi,M,Swimming
45126,Hemza Haloui,M,Wrestling
45193,Mehdi Hamama,M,Swimming
45197,Loucif Hamani,M,Boxing
45251,Abdel Krim Hamiche,M,Handball
45313,Fahem Hammachi,M,Boxing
45314,Abderrahmane Hammad Zaheer,M,Athletics
45372,Salima Hammouche,F,Volleyball
45382,Tahar Hamou,M,Fencing
46030,Derradji Harek,M,Athletics
46061,Abdel Hakim Harkat,M,Judo
46467,Achour Hasni,M,Handball
47027,Kamel Hebri,M,Handball
47043,Adem Hecini,M,Athletics
47044,Amar Hecini,M,Athletics
47642,Sehryne Hennaoui,F,Volleyball
48291,Yassine Hethat,M,Athletics
48784,Bouchra Fatima Al-Zohra Hirech,F,Weightlifting
48785,Samia Hireche,F,Rowing
51626,Ali Idir,M,Judo
51823,Salim Iles,M,Swimming
56524,Mohamed Kacemi,M,Athletics
56532,David Kaci,M,Table Tennis
57909,Nabil Kassel,M,Boxing
58340,Nabil Kebbab,M,Swimming
58349,Benamar Kechkouche,M,Athletics
58357,Zohir Kedache,M,Boxing
58358,Nacer Keddam,M,Boxing
58359,Salim Keddar,M,Athletics
58367,Omar Kedjaouer,M,Wrestling
58697,Ryad Qamar Al-Din Keniche,M,Football
58768,Abdel Hani Kenzi,M,Boxing
59036,Lotfi Khada,M,Athletics
59054,Mohamed Khaldi,M,Athletics
59058,Sofiane Khalfallah,M,Handball
59125,Amel Khamtache,F,Volleyball
59272,Mohamed Kheddis,M,Football
59280,Anissa Khelfaoui (-Nassonenko),F,Fencing
59283,Allaoua Khellil,M,Athletics
59397,Idir Abdullah Khourta,M,Table Tennis
61366,Abdel Kader Klouchi,M,Athletics
61960,Kamel Kohil,M,Athletics
63269,Mustapha Kouchene,M,Boxing
63705,Rachid Kram,M,Athletics
63706,Ahmed Krama,M,Athletics
63731,Hamza Kramou,M,Boxing
65619,El-Hadi Laameche,M,Athletics
65661,Rabah Labiod,M,Boxing
65724,Fethnour Lacheheb,M,Handball
65848,Azzadine Lagab,M,Cycling
65938,Abdelmalik Lahoulou,M,Athletics
66111,Sofiane Lamali,M,Handball
66676,Saleh Larbes,M,Football
66678,Kamel Larbi,M,Judo
66961,Nabil Lasmari,M,Badminton
66983,Leila Franoise Lassouani,F,Weightlifting
67028,Lila Latrous,F,Judo
